2620500.85660975,3723676.16435218,2794364.83471825,3306932.18726394,2554924.69645806,3399591.71154862,2950223.46126649,3394716.9140803,2715856.68668513,3794217.72500901
3723676.16435218,3950675.83839429,3699977.44163804,4039272.74842318,3450548.73128372,4211171.5794244,3685206.09469543,4230299.90301691,3489124.69621594,4134929.67204325
2794364.83471825,3699977.44163804,2447697.74759221,2939377.19384812,2423654.43924447,2967087.93726926,2685785.01551209,3199991.23452651,2813363.06655777,3634776.16007897
3306932.18726394,4039272.74842318,2939377.19384812,3116478.8892785,2889582.69441829,3262797.940184,3028699.65134816,3546316.02396558,3202341.11537643,3897343.6457064
2554924.69645806,3450548.73128372,2423654.43924447,2889582.69441829,2180391.15845124,2954957.75788913,2553876.89090952,3041230.4550238,2543499.94864675,3441359.27349222
3399591.71154862,4211171.5794244,2967087.93726926,3262797.940184,2954957.75788913,3231113.37685605,3100440.8024439,3610864.82933026,3386716.83380226,4075472.04426241
2950223.46126649,3685206.09469543,2685785.01551209,3028699.65134816,2553876.89090952,3100440.8024439,2630244.06588726,3341394.6633436,2873799.29869907,3648283.05045489
3394716.9140803,4230299.90301691,3199991.23452651,3546316.02396558,3041230.4550238,3610864.82933026,3341394.6633436,3441091.28992048,3386205.73834126,4139677.45968774
2715856.68668513,3489124.69621594,2813363.06655777,3202341.11537643,2543499.94864675,3386716.83380226,2873799.29869907,3386205.73834126,2440634.94357151,3541624.41117919
3794217.72500901,4134929.67204325,3634776.16007897,3897343.6457064,3441359.27349222,4075472.04426241,3648283.05045489,4139677.45968774,3541624.41117919,4021093.95786514
